GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1906510,Cedar Falls ,B01001_003,1180,187,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906510,Cedar Falls ,B01001_027,674,165,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906540,Cedar Rapids ,B01001_003,3977,319,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906540,Cedar Rapids ,B01001_027,3902,294,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906660,Center Point-Urbana ,B01001_003,206,51,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906660,Center Point-Urbana ,B01001_027,202,59,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906750,Centerville ,B01001_003,301,55,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906750,Centerville ,B01001_027,264,50,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906780,Central City ,B01001_003,147,78,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906780,Central City ,B01001_027,96,46,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906810,Central Clinton ,B01001_003,383,119,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906810,Central Clinton ,B01001_027,308,118,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906840,Central ,B01001_003,82,38,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906840,Central ,B01001_027,150,47,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906900,Central Decatur ,B01001_003,110,38,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906900,Central Decatur ,B01001_027,99,42,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906930,Central Lee ,B01001_003,183,66,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906930,Central Lee ,B01001_027,98,46,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906960,Central Lyon ,B01001_003,151,43,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906960,Central Lyon ,B01001_027,164,40,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907050,Chariton ,B01001_003,226,24,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907050,Chariton ,B01001_027,228,25,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907080,Charles City ,B01001_003,427,105,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907080,Charles City ,B01001_027,320,54,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907110,Charter Oak-Ute ,B01001_003,44,26,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907110,Charter Oak-Ute ,B01001_027,53,27,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907170,Cherokee ,B01001_003,163,41,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907170,Cherokee ,B01001_027,184,44,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907350,Clarinda ,B01001_003,211,82,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907350,Clarinda ,B01001_027,109,48,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907380,Clarion-Goldfield ,B01001_003,137,53,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907380,Clarion-Goldfield ,B01001_027,160,75,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907410,Clarke ,B01001_003,229,40,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907410,Clarke ,B01001_027,223,40,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907440,Clarksville ,B01001_003,73,32,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907440,Clarksville ,B01001_027,59,23,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907470,Clay Central-Everly ,B01001_003,68,29,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907470,Clay Central-Everly ,B01001_027,66,43,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907590,Clear Creek-Amana ,B01001_003,421,127,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907590,Clear Creek-Amana ,B01001_027,358,110,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907620,Clear Lake ,B01001_003,264,100,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907620,Clear Lake ,B01001_027,257,81,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907650,Clearfield ,B01001_003,4,6,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907650,Clearfield ,B01001_027,5,5,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907710,Clinton ,B01001_003,780,160,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907710,Clinton ,B01001_027,803,145,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907860,College ,B01001_003,765,165,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907860,College ,B01001_027,919,165,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907900,Collins-Maxwell ,B01001_003,100,44,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907900,Collins-Maxwell ,B01001_027,67,31,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1907920,Colo-Nesco ,B01001_003,112,45,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1907920,Colo-Nesco ,B01001_027,121,50,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
