"","name","year","child_abuse_under_3","child_abuse_3_and_4","child_abuse_5"
"315","Cherokee",2016,324.483775811209,349.206349206349,597.826086956522
"316","Chickasaw",2016,255.924170616114,391.304347826087,509.433962264151
"317","Clarke",2016,281.420765027322,358.885017421603,3678.57142857143
"318","Clay",2016,324.915824915825,391.480730223124,950.738916256158
"319","Clayton",2016,215.799614643545,241.900647948164,451.612903225806
"320","Clinton",2016,413.333333333333,574.074074074074,1240
"321","Crawford",2016,220.760233918129,245.928338762215,511.864406779661
"322","Dallas",2016,118.181818181818,179.275019700552,332.35938641344
"323","Davis",2016,143.137254901961,308.016877637131,811.111111111111
"324","Decatur",2016,377.682403433476,409.302325581395,846.153846153846
"325","Delaware",2016,193.49593495935,248.434237995825,476
"326","Des Moines",2016,401.743796109993,598.401598401598,1245.32224532225
"327","Dickinson",2016,242.630385487528,255.369928400955,652.439024390244
"328","Dubuque",2016,237.637362637363,366.370182126218,635.562086700955
"329","Emmet",2016,441.281138790036,516.666666666667,3647.05882352941
"330","Fayette",2016,325.966850828729,571.428571428571,893.939393939394
"331","Floyd",2016,462.882096069869,518.337408312958,976.958525345622
"332","Franklin",2016,292.993630573248,474.226804123711,1277.77777777778
"333","Fremont",2016,352.112676056338,407.608695652174,1209.67741935484
"334","Greene",2016,327.044025157233,594.285714285714,1405.40540540541
"335","Grundy",2016,182.027649769585,290.441176470588,333.333333333333
"336","Guthrie",2016,328.767123287671,370.656370656371,969.69696969697
"337","Hamilton",2016,341.584158415842,339.901477832512,932.432432432433
"338","Hancock",2016,191.709844559585,430.232558139535,465.408805031447
"339","Hardin",2016,315.270935960591,657.534246575342,1476.92307692308
"340","Harrison",2016,316.425120772947,360.881542699724,752.873563218391
"341","Henry",2016,232.961586121437,461.916461916462,866.359447004608
"342","Howard",2016,263.157894736842,411.522633744856,787.40157480315
"343","Humboldt",2016,249.211356466877,344.978165938865,731.481481481482
"344","Ida",2016,256.410256410256,451.612903225806,693.069306930693
"345","Iowa",2016,231.499051233397,274.157303370787,408.026755852843
"346","Jackson",2016,309.328968903437,448.931116389549,694.852941176471
"347","Jasper",2016,346.542346542347,528.436018957346,1259.88700564972
"348","Jefferson",2016,314.814814814815,557.377049180328,1082.8025477707
"349","Johnson",2016,134.260106091092,223.439878234399,421.354764638347
"350","Jones",2016,300.314465408805,431.151241534989,1085.22727272727
"351","Keokuk",2016,377.142857142857,488.888888888889,970.588235294118
"352","Kossuth",2016,155.597722960152,241.176470588235,565.51724137931
"353","Lee",2016,503.552397868561,640.677966101695,1071.83364839319
"354","Linn",2016,260.81146744412,369.853574504737,692.357304095453
"355","Louisa",2016,328.690807799443,429.090909090909,1216.49484536082
"356","Lucas",2016,181.494661921708,260.204081632653,293.103448275862
"357","Lyon",2016,135.623869801085,241.157556270096,446.428571428571
"358","Madison",2016,336.787564766839,230.496453900709,607.476635514019
"359","Mahaska",2016,338.235294117647,394.080996884735,773.700305810397
"360","Marion",2016,294.222222222222,376.136363636364,803.398058252427
"361","Marshall",2016,297.885196374622,422.813036020583,797.734627831715
"362","Mills",2016,472.527472527473,364.406779661017,690.763052208835
"363","Mitchell",2016,164.835164835165,239.043824701195,500
"364","Monona",2016,409.266409266409,662.5,946.428571428571
"365","Monroe",2016,218.543046357616,370.786516853933,880
"366","Montgomery",2016,498.480243161094,672.131147540984,1802.1978021978
"367","Muscatine",2016,339.21568627451,403.576982892691,816.037735849057
"368","OBrien",2016,295.019157088123,550,962.5
"369","Osceola",2016,320.441988950276,343.195266272189,651.685393258427
"370","Page",2016,347.140039447732,372.881355932203,1157.89473684211
"371","Palo Alto",2016,257.763975155279,373.873873873874,384.259259259259
"372","Plymouth",2016,222.077922077922,221.216041397154,608.540925266904
"373","Pocahontas",2016,417.43119266055,627.586206896552,1022.47191011236
"374","Polk",2016,231.604765241766,337.835864485981,710.64352634004
"375","Pottawattamie",2016,403.157597970116,584.389047813649,1024.3553008596
"376","Poweshiek",2016,239.583333333333,540.268456375839,777.777777777778
"377","Ringgold",2016,215,425.742574257426,551.282051282051
"378","Sac",2016,207.492795389049,341.232227488152,517.985611510791
"379","Scott",2016,314.104500151012,445.396145610278,871.386677838291
"380","Shelby",2016,286.127167630058,304.615384615385,559.322033898305
"381","Sioux",2016,123.316796598157,143.20987654321,389.261744966443
"382","Story",2016,169.395255596392,311.616472034419,625.925925925926
"383","Tama",2016,424.190800681431,528.662420382166,1303.66492146597
"384","Taylor",2016,340.10152284264,462.068965517241,1116.66666666667
"385","Union",2016,530.952380952381,745.819397993311,2322.91666666667
"386","Van Buren",2016,367.34693877551,439.024390243902,1475.40983606557
"387","Wapello",2016,326.413743736578,600,1031.6742081448
"388","Warren",2016,244.139508290452,381.25,573.924731182796
"389","Washington",2016,209.178228388474,367.729831144465,841.201716738197
"390","Wayne",2016,228.915662650602,304.812834224599,770.27027027027
"391","Webster",2016,385.026737967914,631.578947368421,1117.51662971175
"392","Winnebago",2016,265.432098765432,334.630350194553,699.186991869919
"393","Winneshiek",2016,139.194139194139,202.127659574468,372.549019607843
"394","Woodbury",2016,340.756756756757,537.70044353463,991.818753933291
"395","Worth",2016,240.343347639485,304.347826086957,708.860759493671
"396","Wright",2016,313.229571984436,703.056768558952,1073.33333333333
"397","Adair",2015,404.145077720207,469.879518072289,787.878787878788
"398","Adams",2015,401.869158878505,320.89552238806,614.285714285714
"399","Allamakee",2015,164.410058027079,234.159779614325,732.758620689655
"400","Appanoose",2015,375.854214123007,548.172757475083,654.761904761905
"401","Audubon",2015,339.622641509434,446.280991735537,658.536585365854
"402","Benton",2015,218.50613154961,303.405572755418,628.205128205128
"403","Black Hawk",2015,290.26369168357,431.544028950543,974.132062627638
"404","Boone",2015,244.136460554371,454.365079365079,558.536585365854
"405","Bremer",2015,183.988764044944,225.473321858864,380.813953488372
"406","Buchanan",2015,161.212121212121,232.111692844677,460.207612456747
"407","Buena Vista",2015,172.991071428571,238.461538461538,394.40203562341
"408","Butler",2015,225.206611570248,252.314814814815,486.607142857143
"409","Calhoun",2015,247.956403269755,459.59595959596,689.393939393939
"410","Carroll",2015,231.905465288035,234.678624813154,618.110236220472
"411","Cass",2015,283.757338551859,496.575342465753,966.666666666667
"412","Cedar",2015,273.305084745763,253.937007874016,668.39378238342
"413","Cerro Gordo",2015,351.617440225035,521.376433785193,1118.56823266219
"414","Cherokee",2015,349.83498349835,325.153374233129,514.563106796116
"415","Chickasaw",2015,192.771084337349,268.456375838926,408.163265306122
"416","Clarke",2015,276.785714285714,297.124600638978,801.724137931034
"417","Clay",2015,294.915254237288,358.024691358025,798.165137614679
"418","Clayton",2015,203.83275261324,274.647887323944,425.454545454545
"419","Clinton",2015,378.537735849057,512.779552715655,1138.29787234043
"420","Crawford",2015,133.597883597884,174.137931034483,441.048034934498
"421","Dallas",2015,124.056999161777,168.054504163512,325.752017608217
"422","Davis",2015,154.613466334165,196.825396825397,775
"423","Decatur",2015,470.833333333333,543.269230769231,933.884297520661
"424","Delaware",2015,182.945736434109,277.647058823529,462.745098039216
"425","Des Moines",2015,368.64406779661,491.063029162747,747.851002865329
"426","Dickinson",2015,263.862332695985,371.967654986523,807.017543859649
"427","Dubuque",2015,224.992995236761,338.532883642496,572.753209700428
"428","Emmet",2015,492.700729927007,529.411764705882,2812.5
"429","Fayette",2015,292.746113989637,505.592841163311,886.274509803922
